account_id,customer_segment
4,Champions
8,Potential Loyalists
9,Champions
10,Potential Loyalists
12,Champions
13,Potential Loyalists
25,Champions
37,Potential Loyalists
39,Champions
46,Champions
50,Champions
56,Potential Loyalists
62,Potential Loyalists
67,Champions
81,Potential Loyalists
85,Champions
87,Potential Loyalists
102,Champions
120,Potential Loyalists
128,Potential Loyalists
132,Champions
134,Potential Loyalists
149,Potential Loyalists
156,Potential Loyalists
170,Champions
171,Potential Loyalists
172,Potential Loyalists
174,Potential Loyalists
175,Champions
177,Leaving Customers
178,Champions
187,Champions
193,Champions
202,Potential Loyalists
205,Potential Loyalists
210,Potential Loyalists
237,Leaving Customers
238,Champions
257,Potential Loyalists
268,Champions
270,Leaving Customers
275,Champions
278,Leaving Customers
279,Leaving Customers
291,Risky Customers
294,Champions
296,Champions
301,Potential Loyalists
305,Champions
306,Potential Loyalists
310,Champions
313,Champions
314,Risky Customers
315,Champions
323,Leaving Customers
339,Leaving Customers
340,Leaving Customers
343,Leaving Customers
346,Leaving Customers
350,Potential Loyalists
351,Potential Loyalists
355,Champions
360,Champions
369,Potential Loyalists
379,Champions
383,Potential Loyalists
389,Leaving Customers
391,Potential Loyalists
395,Champions
396,Champions
399,Champions
400,Champions
405,Risky Customers
407,Champions
409,Leaving Customers
410,Risky Customers
411,Leaving Customers
412,Leaving Customers
413,Champions
419,Champions
420,Potential Loyalists
425,Potential Loyalists
427,Champions
428,Potential Loyalists
430,Risky Customers
431,Champions
432,Leaving Customers
433,Champions
434,Champions
437,Champions
440,Risky Customers
442,Champions
443,Leaving Customers
450,Potential Loyalists
451,Potential Loyalists
454,Leaving Customers
459,Potential Loyalists
461,Leaving Customers
464,Potential Loyalists
465,Potential Loyalists
467,Champions
468,Leaving Customers
470,Leaving Customers
471,Champions
475,Champions
476,Champions
480,Leaving Customers
481,Leaving Customers
487,Leaving Customers
490,Champions
491,Leaving Customers
492,Leaving Customers
493,Leaving Customers
494,Risky Customers
496,Leaving Customers
500,Champions
504,Champions
511,Potential Loyalists
512,Champions
517,Leaving Customers
521,Potential Loyalists
524,Risky Customers
525,Potential Loyalists
529,Champions
531,Leaving Customers
537,Champions
538,Leaving Customers
539,Champions
546,Champions
568,Risky Customers
573,Risky Customers
576,Champions
584,Potential Loyalists
587,Risky Customers
589,Risky Customers
592,Champions
596,Potential Loyalists
597,Risky Customers
598,Potential Loyalists
600,Leaving Customers
602,Champions
604,Potential Loyalists
605,Potential Loyalists
608,Leaving Customers
610,Leaving Customers
615,Leaving Customers
621,Leaving Customers
622,Potential Loyalists
627,Potential Loyalists
629,Leaving Customers
631,Champions
635,Leaving Customers
637,Potential Loyalists
638,Champions
639,Risky Customers
642,Risky Customers
643,Leaving Customers
644,Potential Loyalists
647,Champions
648,Potential Loyalists
650,Potential Loyalists
654,Potential Loyalists
656,Potential Loyalists
658,Potential Loyalists
663,Champions
665,Champions
670,Leaving Customers
671,Leaving Customers
672,Champions
673,Risky Customers
675,Leaving Customers
676,Potential Loyalists
685,Potential Loyalists
686,Champions
687,Leaving Customers
688,Risky Customers
692,Leaving Customers
693,Risky Customers
695,Potential Loyalists
697,Potential Loyalists
699,Leaving Customers
701,Champions
702,Potential Loyalists
707,Potential Loyalists
709,Risky Customers
710,Champions
723,Leaving Customers
727,Risky Customers
730,Risky Customers
731,Leaving Customers
732,Potential Loyalists
733,Leaving Customers
734,Leaving Customers
736,Champions
737,Potential Loyalists
738,Potential Loyalists
740,Champions
743,Potential Loyalists
746,Potential Loyalists
749,Leaving Customers
750,Potential Loyalists
751,Leaving Customers
754,Leaving Customers
755,Risky Customers
758,Leaving Customers
762,Potential Loyalists
764,Potential Loyalists
767,Risky Customers
773,Potential Loyalists
774,Leaving Customers
775,Champions
780,Potential Loyalists
782,Potential Loyalists
783,Potential Loyalists
787,Risky Customers
789,Potential Loyalists
791,Champions
792,Leaving Customers
794,Champions
796,Leaving Customers
798,Champions
801,Leaving Customers
802,Champions
806,Leaving Customers
807,Champions
808,Champions
809,Potential Loyalists
810,Leaving Customers
811,Potential Loyalists
813,Potential Loyalists
817,Champions
819,Potential Loyalists
821,Champions
822,Potential Loyalists
825,Potential Loyalists
829,Risky Customers
834,Potential Loyalists
841,Risky Customers
845,Champions
846,Potential Loyalists
847,Risky Customers
848,Risky Customers
849,Champions
851,Leaving Customers
852,Champions
853,Risky Customers
854,Risky Customers
855,Potential Loyalists
857,Champions
858,Champions
859,Champions
861,Potential Loyalists
864,Champions
867,Potential Loyalists
869,Champions
870,Champions
871,Champions
873,Champions
874,Leaving Customers
879,Potential Loyalists
883,Champions
887,Risky Customers
891,Champions
893,Leaving Customers
894,Leaving Customers
901,Leaving Customers
907,Champions
908,Risky Customers
912,Risky Customers
923,Risky Customers
925,Potential Loyalists
937,Risky Customers
938,Champions
944,Potential Loyalists
946,Potential Loyalists
950,Potential Loyalists
953,Leaving Customers
954,Leaving Customers
956,Leaving Customers
960,Champions
967,Potential Loyalists
973,Champions
974,Leaving Customers
976,Leaving Customers
977,Potential Loyalists
978,Leaving Customers
982,Leaving Customers
986,Champions
988,Risky Customers
995,Champions
999,Risky Customers
1000,Potential Loyalists
1005,Leaving Customers
1012,Champions
1013,Champions
1014,Potential Loyalists
1015,Leaving Customers
1016,Risky Customers
1017,Risky Customers
1020,Risky Customers
1021,Leaving Customers
1022,Potential Loyalists
1023,Potential Loyalists
1029,Potential Loyalists
1030,Potential Loyalists
1031,Champions
1032,Potential Loyalists
1033,Potential Loyalists
1035,Potential Loyalists
1036,Leaving Customers
1037,Champions
1043,Champions
